Brand,Model,Year,EngineSize,Mileage,Transmission,FuelType,Price
Skoda, Fabia,2016.0,1.2,18977,Manual,Petrol,7999
Toyota, Aygo,2017.0,1.0,7000,Manual,Petrol,8000
BMW,X1,2019.0,1.5,2425,Manual,Petrol,24480
Ford, Focus,2019.0,2.0,15052,Automatic,Diesel,19320
Volkswagen, Up,2018.0,1.0,12500,Manual,Petrol,9995
Vauxhall, Corsa,2017.0,1.4,14000,Manual,Petrol,7999
BMW,4 Series,2019.0,3.0,10638,Automatic,Petrol,30450
Volkswagen, Polo,2016.0,1.0,24211,Manual,Petrol,8200
Ford, Mondeo,2015.0,1.6,53702,Manual,Diesel,9140
Volkswagen, Golf,2017.0,2.0,58372,Manual,Diesel,11799
Ford, Kuga,2019.0,1.5,18406,Manual,Diesel,14995
Vauxhall, Insignia,2018.0,1.5,8821,Manual,Petrol,14691
Volkswagen, Touareg,2016.0,3.0,40000,Semi-Auto,Diesel,23900
Hyundai, Tucson,2017.0,1.7,36425,Semi-Auto,Diesel,14295
BMW,1 Series,2016.0,1.5,21037,Semi-Auto,Diesel,14398
Volkswagen, CC,2016.0,2.0,29000,Semi-Auto,Diesel,11250
Volkswagen, Golf,2016.0,1.6,39163,Manual,Diesel,12499
Ford, B-MAX,2014.0,1.6,65516,Manual,Diesel,6500
Ford, Fiesta,2017.0,1.0,10388,Manual,Petrol,10971
Toyota, Aygo,2017.0,1.0,8606,Manual,Petrol,8210
BMW,5 Series,2018.0,2.0,31649,Semi-Auto,Diesel,23998
Ford, Fiesta,2016.0,1.2,17679,Manual,Petrol,8375
Toyota, Aygo,2015.0,1.0,36010,Manual,Petrol,5999
Vauxhall, Corsa,2016.0,1.4,15717,Manual,Petrol,7641
Volkswagen, Golf,2019.0,1.6,10,Manual,Diesel,21695
Audi,A5,2019.0,2.0,10,Manual,Petrol,38990
Volkswagen, Golf,2019.0,2.0,16131,Manual,Petrol,22295
Ford, Focus,2014.0,2.0,92000,Semi-Auto,Diesel,5995
Ford, Fiesta,2019.0,1.0,6705,Semi-Auto,Petrol,16570
Audi,A4,2015.0,2.0,81790,Manual,Diesel,12000
Volkswagen, Polo,2017.0,1.0,9892,Manual,Petrol,10120
Mercedes, GLC Class,2019.0,2.0,3183,Semi-Auto,Diesel,41399
Volkswagen, Golf,2017.0,1.4,10600,Manual,Petrol,13800
Volkswagen, Polo,2017.0,1.0,23000,Manual,Petrol,9499
Ford, Fiesta,2016.0,1.0,40789,Manual,Petrol,9000
Volkswagen, Polo,2017.0,1.0,19179,Manual,Petrol,10200
Audi,A3,2016.0,2.0,53927,Manual,Diesel,13495
Volkswagen, Polo,2018.0,1.0,36455,Manual,Petrol,11000
Vauxhall, Corsa,2015.0,1.4,22046,Manual,Petrol,6732
Mercedes, E Class,2017.0,3.0,21166,Semi-Auto,Diesel,19995
Vauxhall, Astra,2019.0,1.4,9762,Manual,Petrol,12499
Skoda, Fabia,2019.0,1.0,11125,Manual,Petrol,9995
Mercedes, CLS Class,2019.0,2.9,4133,Automatic,Diesel,46710
Volkswagen, Golf,2017.0,2.0,18895,Automatic,Petrol,19500
Volkswagen, Tiguan,2019.0,1.5,12229,Manual,Petrol,20449
Skoda, Superb,2019.0,1.5,2932,Automatic,Petrol,25995
Ford, Kuga,2014.0,2.0,22500,Manual,Diesel,10500
Ford, Fiesta,2017.0,1.1,8984,Manual,Petrol,9160
BMW,4 Series,2015.0,2.0,24102,Automatic,Diesel,18990
Mercedes, E Class,2018.0,2.0,16089,Semi-Auto,Diesel,22998
Ford, Fiesta,2017.0,1.0,16303,Automatic,Petrol,9899
Vauxhall, Corsa,2018.0,1.4,17151,Manual,Petrol,8499
Audi,A4,2020.0,2.0,7521,Semi-Auto,Diesel,38534
Volkswagen, Polo,2016.0,1.0,16284,Manual,Petrol,9490
Audi,A6,2019.0,2.0,9756,Automatic,Diesel,31750
Volkswagen, T-Cross,2019.0,1.6,100,Automatic,Diesel,22850
Mercedes, GLC Class,2017.0,2.1,15334,Semi-Auto,Diesel,25800
Mercedes, C Class,2019.0,2.0,8771,Semi-Auto,Petrol,30495
Vauxhall, Insignia,2018.0,1.5,2688,Manual,Petrol,14799
Ford, Focus,2019.0,1.0,4432,Manual,Petrol,17999
Audi,A4,2015.0,2.0,69134,Manual,Diesel,9547
Mercedes, E Class,2014.0,3.0,42000,Automatic,Diesel,15995
Skoda, Superb,2017.0,2.0,54000,Manual,Diesel,12350
Vauxhall, Corsa,2018.0,1.4,6425,Automatic,Petrol,12299
Volkswagen, Golf,2019.0,1.5,8528,Semi-Auto,Petrol,18690
Ford, EcoSport,2019.0,1.0,4401,Semi-Auto,Petrol,16995
Hyundai,I30,2015.0,1.6,33830,Manual,Diesel,7560
Audi, TT,2019.0,2.0,3000,Automatic,Petrol,29485
Ford, Kuga,2015.0,2.0,21662,Manual,Diesel,13299
Mercedes, E Class,2019.0,2.0,9155,Semi-Auto,Diesel,25676
Volkswagen, T-Roc,2018.0,1.5,20307,Manual,Petrol,19490
Volkswagen, Tiguan,2012.0,2.0,66150,Automatic,Diesel,8995
Mercedes, V Class,2018.0,2.1,24043,Manual,Diesel,18998
BMW,1 Series,2019.0,2.0,7801,Semi-Auto,Petrol,21490
Mercedes, C Class,2015.0,2.1,79011,Automatic,Diesel,12800
Skoda, Fabia,2019.0,1.0,4260,Manual,Petrol,8990
BMW,3 Series,2015.0,2.0,45116,Semi-Auto,Petrol,13990
Mercedes, A Class,2017.0,1.6,19464,Manual,Petrol,12900
BMW,X3,2019.0,3.0,9045,Semi-Auto,Petrol,40875
Vauxhall, Viva,2016.0,1.0,13234,Manual,Petrol,6679
Vauxhall, Corsa,2016.0,1.4,14500,Manual,Petrol,8000
Mercedes, C Class,2018.0,2.0,7859,Semi-Auto,Petrol,24890
Mercedes, A Class,2019.0,1.3,5889,Semi-Auto,Petrol,24094
Ford, B-MAX,2017.0,1.0,31120,Manual,Petrol,8499
BMW,1 Series,2017.0,3.0,32000,Semi-Auto,Petrol,20081
Audi,Q7,2015.0,3.0,56000,Semi-Auto,Diesel,24500
Ford, Grand Tourneo Connect,2019.0,1.5,1523,Manual,Diesel,22000
Volkswagen, Tiguan,2019.0,2.0,5650,Automatic,Petrol,28874
Volkswagen, Sharan,2019.0,2.0,2000,Semi-Auto,Diesel,32750
Audi,Q2,2019.0,2.0,1462,Semi-Auto,Petrol,31000
Toyota, Aygo,2019.0,1.0,2743,Manual,Petrol,9795
Mercedes, C Class,2016.0,1.6,58858,Manual,Diesel,13391
Volkswagen, Polo,2017.0,1.2,9589,Manual,Petrol,11291
Ford, Fiesta,2017.0,1.0,31767,Manual,Petrol,10700
Mercedes, GLC Class,2019.0,2.1,13460,Automatic,Diesel,29750
Mercedes, C Class,2019.0,2.0,2499,Automatic,Petrol,30995
Toyota, Aygo,2017.0,1.0,36376,Manual,Petrol,5990
Vauxhall, Insignia,2017.0,2.0,18000,Manual,Diesel,8500
Vauxhall, Astra,2015.0,1.6,23503,Semi-Auto,Petrol,8495
Volkswagen, T-Roc,2018.0,1.5,10500,Manual,Petrol,22990
Volkswagen, Up,2019.0,1.0,3329,Manual,Petrol,9400
Mercedes, GLC Class,2016.0,2.1,64995,Semi-Auto,Diesel,21295
Audi,A3,2019.0,1.5,12785,Manual,Petrol,19995
Vauxhall, Mokka X,2017.0,1.6,28416,Manual,Diesel,9547
Mercedes, B Class,2019.0,1.3,13021,Semi-Auto,Petrol,22699
BMW,X4,2018.0,2.0,10920,Semi-Auto,Diesel,32000
Ford, Fiesta,2018.0,1.0,8701,Manual,Petrol,13321
Ford, Fiesta,2018.0,1.0,12836,Manual,Petrol,11600
Ford, Focus,2017.0,1.5,25250,Manual,Diesel,12091
Toyota,RAV4,2019.0,2.5,11728,Automatic,Hybrid,31995
Ford, C-MAX,2017.0,1.0,19996,Manual,Petrol,13600
Ford, Fiesta,2015.0,1.0,33399,Manual,Petrol,7500
Hyundai,I10,2018.0,1.2,10268,Manual,Petrol,9000
Ford, Fiesta,2016.0,1.2,21390,Manual,Petrol,7999
Ford, Fiesta,2018.0,1.0,9003,Manual,Petrol,11900
BMW,Z4,2016.0,2.0,16761,Semi-Auto,Petrol,17732
Skoda, Fabia,2017.0,1.0,25121,Manual,Petrol,7997
Vauxhall, Corsa,2019.0,1.4,4206,Manual,Petrol,11250
Mercedes, A Class,2016.0,2.1,44504,Automatic,Diesel,12999
Volkswagen, Polo,2018.0,2.0,18954,Automatic,Petrol,17490
Ford, Focus,2018.0,1.0,22749,Manual,Petrol,10700
Mercedes, V Class,2019.0,2.1,18349,Automatic,Diesel,24750
BMW,X3,2019.0,3.0,4824,Semi-Auto,Petrol,43863
Audi,A1,2017.0,1.4,16855,Automatic,Petrol,16704
Audi,A5,2019.0,2.0,8200,Manual,Petrol,27000
Volkswagen, Touareg,2020.0,3.0,7000,Semi-Auto,Diesel,48465
Mercedes, V Class,2018.0,2.2,12572,Semi-Auto,Diesel,43991
Vauxhall, Corsa,2019.0,1.4,9455,Manual,Petrol,9495
Toyota,RAV4,2015.0,2.0,56203,Manual,Diesel,12711
Mercedes, B Class,2015.0,1.5,39655,Automatic,Diesel,10990
Volkswagen, CC,2016.0,2.0,22080,Semi-Auto,Diesel,15450
Vauxhall, Astra,2015.0,1.6,18999,Manual,Petrol,6480
Audi,A1,2016.0,1.4,30001,Manual,Petrol,12298
Skoda, Kodiaq,2020.0,2.0,3000,Automatic,Diesel,36900
Mercedes, E Class,2013.0,2.1,39872,Automatic,Diesel,14000
Ford, Galaxy,2017.0,2.0,19921,Automatic,Diesel,18500
Ford, Fiesta,2008.0,1.2,78500,Manual,Petrol,2695
Audi,Q3,2019.0,1.5,3000,Manual,Petrol,24990
Vauxhall, Astra,2016.0,1.4,13709,Manual,Petrol,11599
Volkswagen, Touareg,2019.0,3.0,8500,Automatic,Diesel,36990
Hyundai,I20,2019.0,1.2,5000,Manual,Petrol,10795
BMW,X2,2020.0,2.0,3986,Semi-Auto,Petrol,33000
Volkswagen, Golf,2019.0,2.0,6847,Automatic,Petrol,32220
BMW,2 Series,2019.0,2.0,6521,Manual,Diesel,22480
Volkswagen, Golf,2016.0,1.4,18857,Manual,Petrol,11990
Toyota, C-HR,2017.0,1.2,26347,Automatic,Petrol,18490
Hyundai,I10,2019.0,1.0,3269,Manual,Petrol,8490
Mercedes, GLE Class,2019.0,2.0,2172,Semi-Auto,Diesel,50636
BMW,3 Series,2018.0,2.0,30749,Semi-Auto,Diesel,18500
Volkswagen, Arteon,2018.0,2.0,26156,Semi-Auto,Petrol,21182
Audi,A6,2019.0,2.0,5000,Automatic,Diesel,29950
Mercedes, A Class,2014.0,2.1,52311,Semi-Auto,Diesel,13799
Mercedes, A Class,2019.0,1.3,408,Manual,Petrol,21895
Skoda, Fabia,2019.0,1.0,1234,Manual,Petrol,12450
Audi,A1,2012.0,1.2,43500,Manual,Petrol,8899
Toyota, Yaris,2017.0,1.3,21691,Manual,Petrol,9420
Volkswagen, Polo,2017.0,1.2,29255,Manual,Petrol,10995
Skoda, Fabia,2019.0,1.0,3000,Manual,Petrol,9995
Mercedes, GLE Class,2016.0,3.0,37435,Automatic,Diesel,28293
Mercedes, C Class,2016.0,2.1,20000,Automatic,Diesel,16995
Volkswagen, Golf,2016.0,2.0,86674,Manual,Diesel,12389
Mercedes, C Class,2018.0,1.5,14788,Automatic,Petrol,24750
Volkswagen, Tiguan,2019.0,2.0,5375,Manual,Diesel,28990
Skoda, Yeti,2016.0,1.2,22708,Semi-Auto,Petrol,12000
Vauxhall, Corsa,2014.0,1.2,46599,Manual,Petrol,4621
BMW,4 Series,2019.0,2.0,7383,Semi-Auto,Petrol,27970
Ford, Fiesta,2018.0,1.0,14076,Semi-Auto,Petrol,12232
Volkswagen, Golf,2020.0,2.0,2000,Manual,Diesel,22500
Volkswagen, Tiguan,2017.0,2.0,17422,Semi-Auto,Diesel,24745
Audi,A5,2017.0,2.0,33300,Automatic,Diesel,19500
Vauxhall, Corsa,2015.0,1.4,24040,Manual,Petrol,6650
Toyota, Aygo,2017.0,1.0,8243,Manual,Petrol,7698
Volkswagen, Golf,2017.0,1.4,14739,Semi-Auto,Petrol,15995
Toyota, Yaris,2017.0,1.5,35000,Automatic,Hybrid,11700
Ford, S-MAX,2006.0,1.8,111000,Manual,Diesel,2995
Volkswagen, Up,2013.0,1.0,48260,Manual,Petrol,4920
Ford, Focus,2019.0,1.0,9212,Manual,Petrol,16950
Volkswagen, Golf,2015.0,1.6,66813,Manual,Diesel,7475
Mercedes, A Class,2016.0,1.5,28000,Manual,Diesel,12995
Mercedes, C Class,2019.0,2.0,11723,Semi-Auto,Diesel,27400
Volkswagen, Polo,2019.0,1.0,9740,Manual,Petrol,13290
Audi,Q3,2019.0,2.0,500,Automatic,Petrol,40990
Volkswagen, Golf,2019.0,2.0,4350,Automatic,Diesel,20496
Ford, C-MAX,2013.0,1.0,67395,Manual,Petrol,5791
Vauxhall, Viva,2018.0,1.0,7032,Semi-Auto,Petrol,8000
BMW,1 Series,2019.0,1.5,14735,Manual,Diesel,14950
Mercedes, E Class,2016.0,3.5,41090,Semi-Auto,Petrol,21999
Ford, Focus,2019.0,1.5,14581,Manual,Diesel,15140
Ford, Fiesta,2018.0,1.0,26886,Manual,Petrol,9990
Audi,A1,2019.0,1.0,5000,Semi-Auto,Petrol,20000
Ford, Grand C-MAX,2016.0,1.0,22120,Manual,Petrol,9995
Skoda, Scala,2019.0,1.0,3653,Manual,Petrol,16890
Mercedes, A Class,2016.0,2.1,31711,Semi-Auto,Diesel,15770
BMW,2 Series,2019.0,2.0,6361,Manual,Diesel,19990
Audi,A5,2017.0,2.0,29795,Semi-Auto,Diesel,21930
Vauxhall, Grandland X,2019.0,1.2,8150,Manual,Petrol,13999
Mercedes, A Class,2019.0,2.0,5411,Automatic,Petrol,32445
Mercedes, C Class,2016.0,2.1,32924,Semi-Auto,Diesel,21991
Ford, Kuga,2017.0,1.5,11590,Automatic,Petrol,14555
BMW,1 Series,2016.0,1.5,22780,Manual,Diesel,11545
Skoda, Citigo,2018.0,1.0,10020,Manual,Petrol,7700
Audi,A4,2019.0,2.0,3679,Semi-Auto,Petrol,24895
Mercedes, CLS Class,2016.0,3.0,28415,Semi-Auto,Diesel,21490
Audi,Q3,2016.0,2.0,52521,Automatic,Diesel,15499
BMW,3 Series,2017.0,2.0,24909,Semi-Auto,Diesel,17695
Toyota, Aygo,2019.0,1.0,2554,Manual,Petrol,11995
Ford, Focus,2015.0,1.5,80000,Manual,Diesel,6475
Mercedes, A Class,2016.0,2.1,25036,Manual,Diesel,15740
BMW,4 Series,2019.0,2.0,11736,Semi-Auto,Diesel,24975
Ford, Fiesta,2017.0,1.2,16920,Manual,Petrol,7911
Volkswagen, Touareg,2019.0,3.0,7491,Semi-Auto,Diesel,41512
Mercedes, A Class,2016.0,1.6,27539,Manual,Petrol,12750
Ford, Focus,2018.0,1.0,7917,Manual,Petrol,15500
Toyota, Aygo,2016.0,1.0,17545,Manual,Petrol,6995
Hyundai,I10,2015.0,1.2,16000,Manual,Petrol,5995
Mercedes, E Class,2016.0,2.1,117660,Automatic,Diesel,12000
Vauxhall, Insignia,2019.0,1.5,16479,Manual,Petrol,14998
Ford, Focus,2015.0,1.0,20907,Manual,Petrol,9300
Skoda, Octavia,2019.0,1.6,12311,Semi-Auto,Diesel,13798
Vauxhall, Insignia,2018.0,1.6,37504,Automatic,Diesel,12699
Ford, Focus,2018.0,1.0,16960,Manual,Petrol,13600
Ford, Fiesta,2018.0,1.0,16300,Automatic,Petrol,15250
Ford, S-MAX,2016.0,2.0,32469,Manual,Diesel,14800
Skoda, Yeti Outdoor,2016.0,2.0,30981,Manual,Diesel,11490
Toyota, Corolla,2019.0,1.8,9735,Automatic,Hybrid,21490
Toyota, Yaris,2017.0,1.3,22210,Manual,Petrol,8998
Mercedes, SLK,2015.0,2.0,31023,Semi-Auto,Diesel,17480
Skoda, Octavia,2018.0,1.6,7348,Manual,Diesel,12499
Toyota, Aygo,2015.0,1.0,33931,Manual,Petrol,6495
Skoda, Fabia,2017.0,1.2,10660,Automatic,Petrol,11890
Volkswagen, Polo,2016.0,1.0,30000,Manual,Petrol,9465
Vauxhall, Astra,2016.0,1.4,47184,Manual,Petrol,7998
Vauxhall, Insignia,2017.0,1.5,25000,Manual,Petrol,11699
Volkswagen, Passat,2017.0,2.0,14510,Semi-Auto,Diesel,15999
Ford, Focus,2017.0,1.0,40196,Semi-Auto,Petrol,9495
Volkswagen, Caddy Maxi Life,2018.0,2.0,9626,Manual,Diesel,17499
Mercedes, GLA Class,2017.0,2.1,20907,Automatic,Diesel,19990
Vauxhall, Astra,2017.0,1.4,15255,Manual,Petrol,10170
Volkswagen, Golf,2017.0,1.6,63910,Manual,Diesel,11695
Volkswagen, Golf,2019.0,1.5,4522,Semi-Auto,Petrol,20094
Volkswagen, Passat,2017.0,2.0,41362,Semi-Auto,Diesel,13999
Toyota, Prius,2019.0,1.8,10105,Automatic,Hybrid,23640
Ford, Focus,2018.0,1.5,10754,Manual,Diesel,16000
Volkswagen, Up,2019.0,1.0,5000,Manual,Petrol,10290
Ford, Mondeo,2016.0,2.0,75374,Manual,Diesel,8759
Audi,Q3,2020.0,1.5,4432,Semi-Auto,Petrol,32881
Hyundai,I800,2018.0,2.5,38330,Manual,Diesel,15480
Vauxhall, Astra,2019.0,1.6,8000,Manual,Diesel,13495
Mercedes, C Class,2016.0,2.1,69505,Automatic,Diesel,13800
Volkswagen, Golf,2019.0,2.0,5446,Semi-Auto,Diesel,20790
Audi,A1,2019.0,2.0,6734,Semi-Auto,Petrol,21989
BMW,3 Series,2017.0,2.0,47495,Automatic,Other,16000
Toyota, Yaris,2015.0,1.0,36076,Manual,Petrol,7495
Toyota, Yaris,2018.0,1.5,14001,Manual,Petrol,11195
Volkswagen, Shuttle,2017.0,2.0,4828,Semi-Auto,Diesel,32995
Ford, Fiesta,2015.0,1.0,42627,Manual,Petrol,7791
Mercedes, C Class,2018.0,2.1,18321,Semi-Auto,Diesel,20771
Volkswagen, Golf,2019.0,2.0,12271,Automatic,Petrol,30999
Volkswagen, Polo,2019.0,1.0,12423,Semi-Auto,Petrol,14990
Mercedes, E Class,2016.0,3.0,33599,Automatic,Diesel,18990
Skoda, Fabia,2019.0,1.0,14634,Automatic,Petrol,12295
Toyota, Aygo,2018.0,1.0,7500,Manual,Petrol,9495
Vauxhall, Corsa,2019.0,1.4,11465,Manual,Petrol,11529
Ford, Fiesta,2018.0,1.0,6636,Manual,Petrol,10500
Mercedes, E Class,2019.0,2.0,10315,Semi-Auto,Diesel,25199
Ford, Fiesta,2018.0,1.1,24792,Manual,Petrol,8490
Volkswagen, Tiguan,2016.0,2.0,60500,Manual,Diesel,17995
Ford, Focus,2019.0,1.5,5252,Manual,Petrol,18750
Volkswagen, Tiguan,2016.0,2.0,25428,Semi-Auto,Diesel,17490
Mercedes, GLC Class,2019.0,2.1,7352,Automatic,Diesel,31990
Mercedes, E Class,2013.0,3.0,88991,Automatic,Diesel,12299
Volkswagen, Polo,2016.0,1.8,18225,Manual,Petrol,13600
Ford, Fiesta,2017.0,1.0,23500,Manual,Petrol,9739
Mercedes, SL CLASS,1997.0,3.2,76000,Automatic,Petrol,9995
Hyundai, Tucson,2015.0,1.7,21904,Manual,Diesel,11697
Ford, Kuga,2017.0,2.0,28586,Manual,Diesel,13950
Vauxhall, Astra,2020.0,1.2,10,Manual,Petrol,18390
Audi,RS6,2017.0,4.0,39300,Semi-Auto,Petrol,54490
Ford, EcoSport,2017.0,1.0,34723,Manual,Petrol,9000
Audi,A3,2017.0,1.4,25483,Semi-Auto,Petrol,15691
Vauxhall, Meriva,2016.0,1.6,45131,Manual,Diesel,6799
Ford, Mustang,2020.0,5.0,151,Semi-Auto,Petrol,37990
Ford, EcoSport,2018.0,1.0,9293,Manual,Petrol,14199
Mercedes, C Class,2019.0,1.5,8108,Semi-Auto,Petrol,25649
Volkswagen, Tiguan,2020.0,2.0,5124,Manual,Diesel,32995
BMW,1 Series,2016.0,2.0,22461,Automatic,Diesel,14300
Volkswagen, Passat,2006.0,1.6,29000,Manual,Petrol,3495
Ford, C-MAX,2017.0,1.5,21973,Manual,Diesel,9999
Mercedes, A Class,2019.0,1.5,2560,Semi-Auto,Diesel,22339
Ford, Focus,2019.0,1.0,6348,Manual,Petrol,16000
BMW,3 Series,2016.0,2.0,28059,Semi-Auto,Diesel,16950
Volkswagen, Golf,2019.0,1.6,9607,Semi-Auto,Diesel,15790
Mercedes, E Class,2017.0,2.0,17059,Automatic,Diesel,20100
Volkswagen, Polo,2016.0,1.0,36540,Manual,Petrol,9995
BMW,1 Series,2017.0,1.5,31268,Manual,Diesel,12290
Volkswagen, Tiguan,2018.0,1.4,24506,Manual,Petrol,17800
Mercedes, C Class,2015.0,2.1,60597,Semi-Auto,Diesel,14150
Volkswagen, Golf,2015.0,2.0,48000,Manual,Diesel,13495
Audi,A8,2018.0,3.0,10249,Semi-Auto,Diesel,33998
Hyundai, Santa Fe,2019.0,2.2,1,Semi-Auto,Diesel,40365
Volkswagen, Passat,2016.0,1.6,81484,Manual,Diesel,8999
Mercedes, V Class,2018.0,2.1,27222,Manual,Diesel,19998
Mercedes, A Class,2019.0,1.5,14521,Semi-Auto,Diesel,18499
Volkswagen, Golf,2017.0,1.6,19637,Manual,Diesel,12199
Toyota,RAV4,2017.0,2.0,30724,Automatic,Petrol,18490
Ford, Focus,2019.0,1.0,5800,Manual,Petrol,15440
Audi,Q2,2019.0,1.6,3356,Semi-Auto,Diesel,26302
BMW,7 Series,2016.0,3.0,20619,Semi-Auto,Diesel,29240
Ford, Focus,2015.0,1.5,69205,Manual,Diesel,7699
Ford, Focus,2015.0,1.6,9281,Automatic,Petrol,9657
Hyundai, Kona,2018.0,1.0,13655,Manual,Petrol,12998
Audi,A5,2019.0,2.0,5000,Automatic,Petrol,29950
BMW,X3,2017.0,3.0,33158,Semi-Auto,Diesel,27947
Volkswagen, Caravelle,2019.0,2.0,5000,Automatic,Diesel,46050
Ford, Fiesta,2019.0,1.5,8950,Manual,Petrol,16790
Ford, Focus,2019.0,1.0,8000,Manual,Petrol,18499
Mercedes, GL Class,2016.0,3.0,72000,Automatic,Diesel,30990
Ford, Ka+,2018.0,1.2,11125,Manual,Petrol,7397
Ford, Fiesta,2017.0,1.0,22654,Manual,Petrol,9691
Hyundai,I10,2016.0,1.0,20746,Manual,Petrol,5998
Ford, Focus,2011.0,1.6,98900,Manual,Diesel,6400
Vauxhall, Mokka,2015.0,1.4,51971,Manual,Petrol,8995
Ford, Kuga,2017.0,2.0,18387,Manual,Diesel,14995
Vauxhall, Grandland X,2019.0,1.5,14700,Manual,Diesel,17795
Vauxhall, Mokka X,2019.0,1.4,619,Manual,Petrol,13995
Vauxhall, Insignia,2019.0,1.5,19942,Manual,Petrol,15500
BMW,X3,2018.0,2.0,9406,Semi-Auto,Diesel,29222
Vauxhall, Corsa,2019.0,1.4,5161,Manual,Petrol,10498
Ford, Focus,2018.0,2.0,15336,Manual,Petrol,17997
Volkswagen, Golf,2016.0,2.0,15139,Automatic,Petrol,21490
Hyundai,I30,2017.0,1.6,52586,Manual,Diesel,9298
Vauxhall, Mokka X,2017.0,1.4,42000,Automatic,Petrol,10790
BMW,X1,2016.0,2.0,29541,Manual,Diesel,13400
Volkswagen, Passat,2019.0,1.4,5022,Semi-Auto,Hybrid,32995
BMW,3 Series,2016.0,2.0,45089,Automatic,Hybrid,16699
BMW,M3,2010.0,4.0,81000,Manual,Petrol,17650
BMW,3 Series,2018.0,3.0,36646,Semi-Auto,Diesel,21560
Audi,A3,2020.0,2.0,1222,Manual,Diesel,21600
Vauxhall, Astra,2016.0,1.6,47117,Manual,Diesel,7998
Volkswagen, Golf,2017.0,2.0,13397,Semi-Auto,Petrol,20950
BMW,2 Series,2019.0,1.5,8646,Automatic,Hybrid,22995
Volkswagen, Golf SV,2019.0,2.0,10,Semi-Auto,Diesel,23498
Toyota,RAV4,2014.0,2.0,58941,Manual,Diesel,10201
Skoda, Karoq,2018.0,1.0,12000,Automatic,Petrol,20495
Ford, Focus,2016.0,1.5,16327,Manual,Diesel,9270
Skoda, Octavia,2015.0,1.6,57237,Manual,Diesel,7450
Skoda, Fabia,2016.0,1.0,18418,Manual,Petrol,6495
Vauxhall, Crossland X,2019.0,1.2,15460,Manual,Petrol,11698
Audi,Q3,2020.0,1.5,3000,Semi-Auto,Petrol,34495
BMW,1 Series,2015.0,2.0,31141,Automatic,Diesel,15490
Mercedes, CL Class,2020.0,1.3,2512,Semi-Auto,Petrol,28891
Skoda, Yeti Outdoor,2016.0,2.0,18200,Automatic,Diesel,16000
BMW,5 Series,2019.0,3.0,6142,Semi-Auto,Petrol,36995
Ford, Focus,2016.0,1.5,32113,Manual,Diesel,9499
Mercedes, SLK,2015.0,2.1,25996,Automatic,Diesel,12999
Vauxhall, Mokka,2014.0,1.7,53384,Manual,Diesel,7070
Vauxhall, Mokka,2014.0,1.6,50000,Manual,Petrol,7500
Volkswagen, Polo,2017.0,1.2,10793,Manual,Petrol,11391
Audi,Q2,2019.0,1.6,5148,Manual,Diesel,19650
BMW,1 Series,2017.0,2.0,41927,Manual,Diesel,12000
Audi,A1,2016.0,1.4,44898,Manual,Petrol,11496
BMW,X5,2019.0,3.0,8105,Semi-Auto,Diesel,46950
Hyundai, Ioniq,2018.0,1.6,24905,Automatic,Hybrid,14698
Ford, Mondeo,2020.0,2.0,17,Manual,Diesel,21000
